VM Name,Job Name,Start Time,Stop Time,"Duration
(HH:MM:SS)","Avg
Speed
(MB/s)",Column_6,"Total
(GB)","Processed
(GB)","Data
Read
(GB)","Transferred
(GB)",Details,Status
0012-DURPRDC02,"0012-DUR-B
(Synthetic Full)",2025-02-08 23:00:38,2025-02-08 23:11:44,2025-10-03 00:11:06,705.11,,1200,1200,84.23,41.86,,Success
0012-DURPRBS02,"0012-DUR-B
(Synthetic Full)",2025-02-08 23:00:38,2025-02-08 23:10:15,2025-10-03 00:09:37,505.74,,50,42.02,20.54,9.04,,Success
"0012-
DURPRCTXMCS01","0012-DUR-B
(Synthetic Full)",2025-02-08 23:00:38,2025-02-08 23:03:08,2025-10-03 00:02:30,0,,80,80,0,0,,Success
"0012-
DURPRCCC01.Stopped","0012-DUR-B
(Synthetic Full)",2025-02-08 23:01:37,2025-02-08 23:02:28,2025-10-03 00:00:51,0,,75,75,0,0,,Success
0012-DURPRNS01,"0012-DUR-B
(Synthetic Full)",2025-02-08 23:02:18,2025-02-08 23:03:10,2025-10-03 00:00:52,544.8,,20,18.28,5.32,1.62,,Success
0012-DURPRMGT01,"0012-DUR-B
(Synthetic Full)",2025-02-08 23:07:39,2025-02-08 23:14:42,2025-10-03 00:07:03,546.07,,50,45.17,21.53,9.76,,Success
0012-DURPREXC02,"0012-DUR-B
(Synthetic Full)",2025-02-08 23:07:54,2025-02-08 23:17:42,2025-10-03 00:09:48,663.67,,90,67.72,40.18,13.98,,Success
"0012-
DURPRCTXMCS01","0012-DUR-B
(Incremental)",2025-03-08 23:00:38,2025-03-08 23:02:55,2025-10-03 00:02:17,0,,80,80,0,0,,Success
0012-DURPRDC02,"0012-DUR-B
(Incremental)",2025-03-08 23:00:38,2025-03-08 23:10:39,2025-10-03 00:10:01,708.82,,1200,1200,26.49,11.7,,Success
0012-DURPRBS02,"0012-DUR-B
(Incremental)",2025-03-08 23:00:38,2025-03-08 23:10:14,2025-10-03 00:09:36,674.68,,50,41.53,10.03,2.73,,Success
"0012-
DURPRCCC01.Stopped","0012-DUR-B
(Incremental)",2025-03-08 23:02:18,2025-03-08 23:02:54,2025-10-03 00:00:36,0,,75,75,0,0,,Success
0012-DURPRNS01,"0012-DUR-B
(Incremental)",2025-03-08 23:02:58,2025-03-08 23:03:37,2025-10-03 00:00:39,536,,20,18.26,5.23,1.61,,Success
0012-DURPREXC02,"0012-DUR-B
(Incremental)",2025-03-08 23:07:44,2025-03-08 23:16:30,2025-10-03 00:08:46,640.13,,90,66.84,35.22,10.51,,Success
0012-DURPRMGT01,"0012-DUR-B
(Incremental)",2025-03-08 23:07:54,2025-03-08 23:14:47,2025-10-03 00:06:53,680.57,,50,44.89,10.64,4.19,,Success
0012-DURPRBS02,"0012-DUR-B
(Incremental)",2025-04-08 23:00:29,2025-04-08 23:09:41,2025-10-03 00:09:12,699.66,,50,41.54,8.4,1.98,,Success
0012-DURPRDC02,"0012-DUR-B
(Incremental)",2025-04-08 23:00:29,2025-04-08 23:11:30,2025-10-03 00:11:01,627.06,,1200,1200,64.09,33.49,,Success
